Rank, Team, GP,W, L, OT, P, ROW, HROW, RROW, P%, G/G, GA/G, 5-5 F/A, PP%, PK%, S/G, SA/G, Sc 1%, Tr 1st%, Ld 1%, Ld 2%, OS%, OSB%, FO%
1,CHICAGO,48,36,7,5,77,30,15,15,0.802,3.1,2.02,1.52,16.7,87.2,31.1,26.2,0.897,0.526,0.895,0.897,0.788,0.643,50.8
2,PITTSBURGH,48,36,12,0,72,33,17,16,0.75,3.38,2.48,1.35,24.7,79.6,30,29.2,0.806,0.647,0.84,0.95,0.808,0.7,51.5
3,ANAHEIM,48,30,12,6,66,24,14,10,0.688,2.79,2.4,1.28,21.5,81.5,28.1,27.9,0.75,0.5,0.8,0.895,0.615,0.667,47.5
4,MONTREAL,48,29,14,5,63,26,13,13,0.656,3.04,2.58,1.25,20.7,79.8,30.6,26.9,0.724,0.421,0.789,0.81,0.606,0.6,49.8
5,ST LOUIS,48,29,17,2,60,24,13,11,0.625,2.58,2.38,1.04,19.5,84.7,27.8,24.2,0.793,0.316,0.789,0.905,0.586,0.611,50.7
6,BOSTON,48,28,14,6,62,24,13,11,0.646,2.65,2.21,1.28,14.8,87.1,32.4,28.6,0.731,0.409,0.765,0.652,0.576,0.538,56.4
7,LOS ANGELES,48,27,16,5,59,25,17,8,0.615,2.73,2.38,1.09,19.9,83.2,29.8,25,0.808,0.273,0.938,0.864,0.576,0.533,52
8,WASHINGTON,48,27,18,3,57,24,14,10,0.594,3.04,2.71,1.07,26.8,77.9,28.1,32.3,0.654,0.455,0.8,0.864,0.786,0.471,50.8
9,VANCOUVER,48,26,15,7,59,21,11,10,0.615,2.54,2.4,1.02,15.8,84,28.1,28.9,0.645,0.353,0.714,0.783,0.5,0.556,47.6
10,TORONTO,48,26,17,5,57,26,13,13,0.594,3.02,2.67,1.05,18.7,87.9,26.3,32.3,0.594,0.438,0.727,0.87,0.417,0.583,50
11,NY RANGERS,48,26,18,4,56,22,13,9,0.583,2.62,2.25,1.3,15.7,81.1,30.9,28.2,0.857,0.296,0.929,1,0.556,0.524,50
12,MINNESOTA,48,26,19,3,55,22,12,10,0.573,2.46,2.6,0.88,17.9,80.7,28.8,27.1,0.783,0.32,0.75,0.9,0.577,0.471,52.4
13,SAN JOSE,48,25,16,7,57,17,12,5,0.594,2.42,2.33,1,20.1,85,31.8,29,0.8,0.217,0.824,0.833,0.571,0.438,53.4
14,OTTAWA,48,25,17,6,56,21,12,9,0.583,2.33,2.08,1.03,15.9,88,33.1,31.3,0.72,0.304,0.667,0.905,0.5,0.5,49.2
15,DETROIT,48,24,16,8,56,22,13,9,0.583,2.54,2.29,1.1,18.4,81.7,30.1,27.5,0.64,0.348,0.643,0.857,0.438,0.667,50.8
16,COLUMBUS,48,24,17,7,55,19,12,7,0.573,2.4,2.4,1.04,14.2,82.6,26.7,29.9,0.6,0.429,0.727,1,0.538,0.484,52
17,NY ISLANDERS,48,24,17,7,55,20,9,11,0.573,2.81,2.83,0.98,19.9,80.3,30.9,28.2,0.739,0.28,0.813,0.842,0.556,0.4,49.7
18,WINNIPEG,48,24,21,3,51,22,12,10,0.531,2.62,2.94,0.9,13.8,79.7,28.9,29.7,0.696,0.32,0.833,0.9,0.6,0.423,48.9
19,PHILADELPHIA,48,23,22,3,49,22,14,8,0.51,2.75,2.9,0.86,21.6,85.9,29,28.6,0.692,0.227,0.765,0.85,0.52,0.45,48.5
20,DALLAS,48,22,22,4,48,20,10,10,0.5,2.67,2.94,1.01,17,81,26.3,31,0.696,0.24,0.737,0.706,0.5,0.441,47.2
21,PHOENIX,48,21,18,9,51,17,12,5,0.531,2.52,2.6,1.06,14.8,79.9,30.9,30.6,0.737,0.241,0.813,0.938,0.478,0.391,52
22,BUFFALO,48,21,21,6,48,14,6,8,0.5,2.46,2.9,0.9,14.1,79.2,27.9,33.5,0.667,0.208,0.6,0.692,0.333,0.5,46.2
23,NEW JERSEY,48,19,19,10,48,17,11,6,0.5,2.29,2.54,0.86,15.9,81.1,28.4,23.1,0.737,0.172,0.727,0.75,0.457,0.25,48.2
24,EDMONTON,48,19,22,7,45,17,8,9,0.469,2.56,2.73,0.9,20.1,83.4,26.8,32.8,0.5,0.292,0.688,0.75,0.727,0.314,46.1
25,CAROLINA,48,19,25,4,42,18,8,10,0.438,2.65,3.31,0.86,14.6,77.6,32.2,32.2,0.579,0.276,0.692,0.933,0.435,0.375,50.2
26,CALGARY,48,19,25,4,42,19,13,6,0.438,2.67,3.27,0.68,20,81.5,26.9,29.4,0.6,0.174,0.688,0.8,0.294,0.483,46.6
27,TAMPA BAY,48,18,26,4,40,17,11,6,0.417,3.06,3.06,1.08,19,80.6,27.6,30.2,0.684,0.172,0.813,0.786,0.389,0.37,51.2
28,NASHVILLE,48,16,23,9,41,14,11,3,0.427,2.27,2.77,0.91,17.1,75.5,25.9,27.8,0.611,0.167,0.636,0.8,0.368,0.269,49.7
29,COLORADO,48,16,25,7,39,14,12,2,0.406,2.38,3.12,0.83,15,80.3,29.5,31.4,0.563,0.219,0.7,0.643,0.304,0.333,51.1
30,FLORIDA,48,15,27,6,36,12,7,5,0.375,2.27,3.54,0.57,20.4,74.2,29.2,31.3,0.647,0.129,0.636,0.857,0.286,0.308,49.4
