 Team, GP,W, L, OT, P, ROW, HROW, RROW, P%, G/G, GA/G, 5-5 F/A, PP%, PK%, S/G, SA/G, Sc 1%, Tr 1st%, Ld 1%, Ld 2%, OS%, OSB%, FO%, Total: GF, PPF, NT+, GA, PPA, NT-, +/-,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,Total: Hits,BkS,MsS,GvA,TkA,FOW,FOL,FO%, Score 1st: W,  Score 1st: L,  Score 1st: OT, Score 1st: W%, Trail 1st: W, Trail 1st: L, Trail 1st: OT, Trail 1st: W%
ANAHEIM,48,30,12,6,66,24,14,10,0.688,2.79,2.4,1.28,21.5,81.5,28.1,27.9,0.75,0.5,0.8,0.895,0.615,0.667,47.5,134,29,105,115,30,85,20,50.2,1444,1528,37.3,39.5,48.6,1970,2138,51,55.3,48,8.59,93,1016,30.9,32.2,36.9,1149,776,524,379,280,1382,1525,47.5,18,2,4,0.75,12,10,2,0.5
BOSTON,48,28,14,6,62,24,13,11,0.646,2.65,2.21,1.28,14.8,87.1,32.4,28.6,0.731,0.409,0.765,0.652,0.576,0.538,56.4,127,18,109,106,21,85,24,53.7,1751,1489,45.2,38.4,54,2391,2005,61.7,51.8,54.4,7.31,93.18,1005,31.8,32.3,35.8,1200,650,611,402,278,1605,1241,56.4,19,4,3,0.731,9,10,3,0.409
BUFFALO,48,21,21,6,48,14,6,8,0.5,2.46,2.9,0.9,14.1,79.2,27.9,33.5,0.667,0.208,0.6,0.692,0.333,0.5,46.2,118,23,95,139,37,102,-7,45.5,1348,1661,36.2,44.6,44.8,1811,2201,48.6,59.1,45.1,8,92.65,1006,30.7,31.9,37.4,1079,718,460,385,300,1340,1558,46.2,16,4,4,0.667,5,17,2,0.208
CALGARY,48,19,25,4,42,19,13,6,0.438,2.67,3.27,0.68,20,81.5,26.9,29.4,0.6,0.174,0.688,0.8,0.294,0.483,46.6,128,31,97,157,28,129,-32,47.9,1447,1598,37.7,41.6,47.5,1950,2163,50.8,56.3,47.4,7.9,89.27,972,28.9,35.5,35.6,935,699,518,418,342,1403,1605,46.6,15,9,1,0.6,4,16,3,0.174
CAROLINA,48,19,25,4,42,18,8,10,0.438,2.65,3.31,0.86,14.6,77.6,32.2,32.2,0.579,0.276,0.692,0.933,0.435,0.375,50.2,127,24,103,159,36,123,-20,50.5,1712,1671,45.3,44.2,50.6,2336,2190,61.8,57.9,51.6,7.28,91.21,985,33.9,29.4,36.6,1100,667,642,333,426,1503,1491,50.2,11,6,2,0.579,8,19,2,0.276
CHICAGO,48,36,7,5,77,30,15,15,0.802,3.1,2.02,1.52,16.7,87.2,31.1,26.2,0.897,0.526,0.895,0.897,0.788,0.643,50.8,149,25,124,97,18,79,45,54.9,1565,1285,40.8,33.5,54.9,2103,1782,54.8,46.5,54.1,8.97,92.93,1019,34.5,28.9,36.6,840,652,500,345,467,1436,1392,50.8,26,2,1,0.897,10,5,4,0.526
COLORADO,48,16,25,7,39,14,12,2,0.406,2.38,3.12,0.83,15,80.3,29.5,31.4,0.563,0.219,0.7,0.643,0.304,0.333,51.1,114,21,93,150,36,114,-21,49.8,1526,1580,40,41.5,49.1,2073,2170,54.4,56.9,48.9,7.07,91.41,985,31.5,31.7,36.8,1241,783,508,349,405,1449,1388,51.1,9,4,3,0.563,7,21,4,0.219
COLUMBUS,48,24,17,7,55,19,12,7,0.573,2.4,2.4,1.04,14.2,82.6,26.7,29.9,0.6,0.429,0.727,1,0.538,0.484,52,115,22,93,115,25,90,3,45.8,1287,1529,33.6,40,45.7,1811,2030,47.4,53.1,47.1,8.71,93,1017,30.3,32.5,37.3,1188,627,453,214,270,1457,1345,52,12,6,2,0.6,12,11,5,0.429
DALLAS,48,22,22,4,48,20,10,10,0.5,2.67,2.94,1.01,17,81,26.3,31,0.696,0.24,0.737,0.706,0.5,0.441,47.2,128,29,99,141,34,107,-8,46.6,1407,1578,37.8,42.4,47.1,1988,2083,53.4,56,48.8,9.47,91.82,1013,30,33.6,36.4,1199,671,579,423,327,1356,1519,47.2,16,5,2,0.696,6,17,2,0.24
DETROIT,48,24,16,8,56,22,13,9,0.583,2.54,2.29,1.1,18.4,81.7,30.1,27.5,0.64,0.348,0.643,0.857,0.438,0.667,50.8,122,34,88,110,30,80,8,52.1,1563,1365,41.6,36.4,53.4,2069,1790,55.1,47.7,53.6,6.65,93.46,1001,37,28.5,34.5,865,560,612,366,285,1387,1343,50.8,16,7,2,0.64,8,9,6,0.348
EDMONTON,48,19,22,7,45,17,8,9,0.469,2.56,2.73,0.9,20.1,83.4,26.8,32.8,0.5,0.292,0.688,0.75,0.727,0.314,46.1,123,34,89,131,29,102,-13,45.1,1379,1680,36.9,44.9,45.1,1816,2262,48.6,60.5,44.5,8.08,92.53,1006,29.7,33.1,37.2,1060,754,482,479,307,1267,1480,46.1,12,6,6,0.5,7,16,1,0.292
FLORIDA,48,15,27,6,36,12,7,5,0.375,2.27,3.54,0.57,20.4,74.2,29.2,31.3,0.647,0.129,0.636,0.857,0.286,0.308,49.4,109,29,80,170,39,131,-51,48,1526,1626,39.2,41.7,48.4,2046,2119,52.5,54.4,49.1,5.77,90.33,961,33.9,27.3,38.9,1110,605,505,287,307,1342,1377,49.4,11,4,2,0.647,4,23,4,0.129
