"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"1"	1	1	" "	"0:0020:00"	"PSTR"	"Period Start- Local time: 7:09 EDT"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"2"	2	1	"EV"	"0:0020:00"	"FAC"	"BOS won Neu. Zone - MTL #14 PLEKANEC vs BOS #37 BERGERON"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"3"	3	1	"EV"	"0:1319:47"	"HIT"	"MTL #76 SUBBAN HIT BOS #63 MARCHAND, Neu. Zone"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"4"	4	1	" "	"0:2319:37"	"STOP"	"ICING"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"5"	5	1	"EV"	"0:2319:37"	"FAC"	"MTL won Def. Zone - MTL #14 PLEKANEC vs BOS #46 KREJCI"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"6"	6	1	" "	"0:3319:27"	"STOP"	"ICING"	"51"	"11"	"67"	"26"	"74"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"7"	7	1	"EV"	"0:3319:27"	"FAC"	"MTL won Off. Zone - MTL #51 DESHARNAIS vs BOS #12 IGINLA"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"8"	8	1	"EV"	"0:3719:23"	"MISS"	"MTL #79 MARKOV, Slap, Over Net, Off. Zone, 61 ft."	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"9"	9	1	"EV"	"0:4119:19"	"HIT"	"BOS #17 LUCIC HIT MTL #74 EMELIN, Def. Zone"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"10"	10	1	"EV"	"1:4418:16"	"HIT"	"BOS #86 MILLER HIT MTL #81 ELLER, Def. Zone"	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"34"	"25"	"21"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"11"	11	1	"EV"	"1:5118:09"	"BLOCK"	"MTL #81 ELLER BLOCKED BY  BOS #34 SODERBERG, Wrist, Def. Zone"	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"34"	"25"	"21"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"12"	12	1	" "	"1:5118:09"	"STOP"	"PUCK IN NETTING"	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"34"	"25"	"21"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"13"	13	1	"EV"	"1:5118:09"	"FAC"	"MTL won Off. Zone - MTL #48 BRIERE vs BOS #34 SODERBERG"	"48"	"22"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"34"	"20"	"43"	"55"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
"14"	14	1	"EV"	"1:5718:03"	"BLOCK"	"MTL #74 EMELIN BLOCKED BY  BOS #34 SODERBERG, Wrist, Def. Zone"	"48"	"22"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"34"	"20"	"43"	"55"	"40"	"C"	"C"	"L"	"D"	"D"	"G"
"15"	15	1	" "	"2:0517:55"	"STOP"	"OFFSIDE"	"48"	"22"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"43"	"55"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"16"	16	1	"EV"	"2:0517:55"	"FAC"	"BOS won Neu. Zone - MTL #48 BRIERE vs BOS #11 CAMPBELL"	"48"	"22"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"43"	"55"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"17"	17	1	"EV"	"2:1817:42"	"GOAL"	"MTL #22 WEISE(3), Tip-In, Off. Zone, 8 ft.Assists: #48 BRIERE(4); #8 PRUST(2)"	"48"	"22"	"8"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"11"	"20"	"22"	"43"	"55"	"40"	"C"	"L"	"L"	"D"	"D"	"G"
"18"	18	1	"EV"	"2:1817:42"	"FAC"	"MTL won Neu. Zone - MTL #14 PLEKANEC vs BOS #46 KREJCI"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"19"	19	1	"EV"	"2:4117:19"	"GIVE"	"BOS GIVEAWAY - #86 MILLER, Def. Zone"	"14"	"20"	"49"	"26"	"76"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"20"	20	1	"EV"	"2:4717:13"	"SHOT"	"MTL ONGOAL - #49 BOURNIVAL, Backhand, Off. Zone, 40 ft."	"14"	"11"	"49"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"21"	21	1	"EV"	"2:5217:08"	"HIT"	"MTL #14 PLEKANEC HIT BOS #12 IGINLA, Off. Zone"	"14"	"11"	"49"	"26"	"76"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"46"	"12"	"17"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
"22"	22	1	"EV"	"3:1116:49"	"HIT"	"MTL #26 GORGES HIT BOS #12 IGINLA, Def. Zone"	"51"	"11"	"67"	"26"	"74"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"12"	"33"	"86"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"23"	23	1	" "	"3:1916:41"	"STOP"	"ICING"	"51"	"11"	"67"	"26"	"74"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"24"	24	1	"EV"	"3:1916:41"	"FAC"	"BOS won Off. Zone - MTL #51 DESHARNAIS vs BOS #37 BERGERON"	"51"	"11"	"67"	"26"	"74"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"25"	25	1	"EV"	"3:3016:30"	"HIT"	"BOS #33 CHARA HIT MTL #67 PACIORETTY, Def. Zone"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"26"	26	1	"EV"	"3:3816:22"	"HIT"	"MTL #67 PACIORETTY HIT BOS #18 SMITH, Off. Zone"	"51"	"11"	"67"	"74"	"79"	"31"	"C"	"R"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"27"	"33"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"27"	27	1	"EV"	"4:0016:00"	"GIVE"	"BOS GIVEAWAY - #63 MARCHAND, Neu. Zone"	"81"	"17"	"21"	"74"	"79"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"63"	"18"	"47"	"86"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"28"	28	1	"EV"	"4:0815:52"	"MISS"	"MTL #17 BOURQUE, Snap, Wide of Net, Off. Zone, 44 ft."	"81"	"17"	"21"	"40"	"43"	"31"	"C"	"R"	"R"	"D"	"D"	"G"	"37"	"25"	"21"	"47"	"86"	"40"	"C"	"R"	"L"	"D"	"D"	"G"
