"gameid","playid","period","strength","time","event","description","playersAway","playersPosAway","playersHome","playersPosAway.1"
"2013020001",1,1," ","0:0020:00","PSTR","Period Start- Local time: 7:27 EDT","42 81 21 3 36 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",2,1,"EV","0:0020:00","FAC","TOR won Neu. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC","42 81 21 3 36 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",3,1,"EV","1:1418:46","MISS","TOR #4 FRANSON, Wrist, Wide of Net, Off. Zone, 61 ft.","43 19 41 4 51 34","C R L D D G","48 51 67 61 79 31","C R L D D G"
"2013020001",4,1,"EV","1:3618:24","SHOT","MTL ONGOAL - #11 GALLAGHER, Wrist, Off. Zone, 23 ft.","63 40 12 15 51 34","C R L D D G","27 81 11 24 55 31","C R L D D G"
"2013020001",5,1,"EV","1:4018:20","HIT","MTL #27 GALCHENYUK HIT TOR #51 GARDINER, Off. Zone","63 40 12 15 51 34","C R L D D G","27 81 11 24 55 31","C R L D D G"
"2013020001",6,1,"EV","1:4518:15","BLOCK","TOR #63 BOLLAND BLOCKED BY  MTL #24 TINORDI, Wrist, Def. Zone","63 40 12 2 15 34","C R L D D G","27 81 11 24 55 31","C R L D D G"
"2013020001",7,1," ","1:4618:14","STOP","PUCK IN NETTING","63 40 12 2 15 34","C R L D D G","27 81 11 24 55 31","C R L D D G"
"2013020001",8,1,"EV","1:4618:14","FAC","TOR won Off. Zone - TOR #11 MCCLEMENT vs MTL #8 PRUST","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",9,1,"EV","1:5218:08","BLOCK","TOR #15 RANGER BLOCKED BY  MTL #32 MOEN, Wrist, Def. Zone","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",10,1,"EV","1:5718:03","GIVE","MTL GIVEAWAY - #32 MOEN, Def. Zone","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",11,1,"EV","2:0217:58","HIT","MTL #24 TINORDI HIT TOR #28 ORR, Def. Zone","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",12,1,"EV","2:0817:52","HIT","TOR #11 MCCLEMENT HIT MTL #55 BOUILLON, Off. Zone","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",13,1,"EV","2:1017:50","HIT","MTL #8 PRUST HIT TOR #37 ASHTON, Def. Zone","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",14,1," ","2:1217:48","STOP","HIGH STICK","11 28 37 2 15 34","C R R D D G","15 8 32 24 55 31","C R R D D G"
"2013020001",15,1,"EV","2:1217:48","FAC","MTL won Neu. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC","42 81 21 3 36 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",16,1,"EV","2:2417:36","SHOT","MTL ONGOAL - #17 BOURQUE, Wrist, Off. Zone, 46 ft.","42 81 21 4 51 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",17,1," ","2:2517:35","STOP","GOALIE STOPPED","42 81 21 4 51 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",18,1,"EV","2:2517:35","FAC","MTL won Off. Zone - TOR #42 BOZAK vs MTL #14 PLEKANEC","42 81 21 3 4 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",19,1,"EV","2:2817:32","SHOT","MTL ONGOAL - #26 GORGES, Slap, Off. Zone, 50 ft.","42 81 21 3 4 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",20,1," ","2:2917:31","STOP","GOALIE STOPPED","42 81 21 3 4 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
"2013020001",21,1,"EV","2:2917:31","FAC","TOR won Def. Zone - TOR #42 BOZAK vs MTL #21 GIONTA","42 81 21 3 4 34","C C L D D G","14 17 21 26 76 31","C C L D D G"
