"","","","DIV"," GP "," W "," L "," OT "," P "," ROW "," GF "," GA "," Diff "," Home "," Away "," S/O "," L10 "," Streak "
"1","1","z - Boston","A","80","53","18","9","115","50","255","173","+82","30-7-3","23-11-6","3-6","5-1-4","OT 2"
"2","2","y - Anaheim","P","80","52","20","8","112","50","259","204","+55","28-8-4","24-12-4","2-6","7-2-1","Won 2"
"3","3","x - Colorado","C","80","52","21","7","111","47","247","212","+35","26-11-4","26-10-3","5-4","8-1-1","Won 2"
"4","4","x - St. Louis","C","80","52","21","7","111","43","248","185","+63","28-8-4","24-13-3","9-3","5-5-0","Lost 4"
"5","5","y - Pittsburgh","M","80","51","24","5","107","44","244","200","+44","28-9-2","23-15-3","7-2","5-5-0","Won 2"
"6","6","x - Chicago","C","80","46","19","15","107","40","262","209","+53","27-7-7","19-12-8","6-8","6-4-0","Won 4"
"7","7","x - San Jose","P","80","49","22","9","107","39","241","197","+44","28-7-5","21-15-4","10-7","4-4-2","Lost 2"
"8","8","x - Los Angeles","P","81","46","28","7","99","38","203","170","+33","23-14-3","23-14-4","8-5","6-3-1","Won 1"
"9","9","x - Montréal","A","81","45","28","8","98","39","214","204","+10","22-13-5","23-15-3","6-3","7-2-1","Lost 1"
"10","10","x - Minnesota","C","81","43","26","12","98","35","204","199","+5","26-9-5","17-17-7","8-8","7-2-1","Won 4"
"11","11","x - Tampa Bay","A","80","44","27","9","97","37","236","213","+23","24-10-6","20-17-3","7-6","5-3-2","Won 2"
"12","12","x - NY Rangers","M","81","45","31","5","95","41","218","192","+26","20-17-4","25-14-1","4-3","7-2-1","Won 2"
"13","13","x - Philadelphia","M","80","41","30","9","91","38","227","226","+1","24-14-2","17-16-7","3-7","3-5-2","Lost 1"
"14","14","x - Columbus","M","80","42","31","7","91","37","226","211","+15","22-15-4","20-16-3","5-2","6-3-1","Won 3"
"15","15","x - Detroit","A","80","38","27","15","91","33","218","228","-10","18-12-10","20-15-5","5-9","5-3-2","OT 1"
"16","16","Dallas","C","80","39","30","11","89","35","231","226","+5","22-11-7","17-19-4","4-5","6-4-0","Lost 1"
"17","17","Phoenix","P","80","36","29","15","87","30","212","227","-15","21-13-5","15-16-10","6-7","2-4-4","Lost 1"
"18","18","Washington","M","80","37","30","13","87","27","231","239","-8","20-13-6","17-17-7","10-10","4-3-3","Won 3"
"19","19","New Jersey","M","80","34","29","17","85","34","192","203","-11","20-11-8","14-18-9","0-12","4-2-4","OT 1"
"20","20","Nashville","C","80","36","32","12","84","34","202","234","-32","18-17-5","18-15-7","2-9","7-1-2","Won 1"
"21","21","Ottawa","A","80","35","31","14","84","29","232","263","-31","17-17-6","18-14-8","6-7","7-2-1","Won 3"
"22","22","Toronto","A","81","38","35","8","84","29","231","255","-24","24-16-1","14-19-7","9-4","2-8-0","Lost 3"
"23","23","Winnipeg","C","81","36","35","10","82","28","222","234","-12","18-17-6","18-18-4","8-6","4-5-1","Won 1"
"24","24","Vancouver","P","80","35","34","11","81","30","189","217","-28","19-15-6","16-19-5","5-7","4-5-1","Lost 2"
"25","25","Carolina","M","80","34","35","11","79","33","199","224","-25","18-17-6","16-18-5","1-4","4-4-2","Lost 3"
"26","26","Calgary","P","80","35","38","7","77","28","205","231","-26","19-18-3","16-20-4","7-3","7-3-0","Won 4"
"27","27","NY Islanders","M","80","32","37","11","75","25","218","262","-44","13-19-9","19-18-2","7-6","6-2-2","Won 1"
"28","28","Florida","A","81","29","44","8","66","21","194","265","-71","16-19-5","13-25-3","8-6","3-7-0","Won 1"
"29","29","Edmonton","P","81","28","44","9","65","24","198","268","-70","15-22-3","13-22-6","4-3","3-7-0","Lost 2"
"30","30","Buffalo","A","80","21","50","9","51","14","153","240","-87","13-21-6","8-29-3","7-4","1-8-1","Lost 5"
