TEAM,DIV, GP, W, L, OT, P, ROW, GF, GA, DIFF, HOME, AWAY, S/O, L10, STREAK,Playoffs
 ANAHEIM,PAC,82,34,36,12,80,31,204,231,-27,21-18-2,13-18-10,7-Mar,04-5-01,LOST 1,0
 BUFFALO,NE,82,39,32,11,89,32,218,230,-12,21-12-8,18-20-3,7-Jul,06-3-01,OT 1,0
 CALGARY,NW,82,37,29,16,90,34,202,226,-24,23-12-6,14-17-10,9-Mar,03-3-04,WON 2,0
 CAROLINA,SE,82,33,33,16,82,32,213,243,-30,20-14-7,13-19-9,6-Jan,05-4-01,LOST 1,0
 COLORADO,NW,82,41,35,6,88,32,208,220,-12,22-17-2,19-18-4,2-Sep,03-5-02,LOST 2,0
 COLUMBUS,CEN,82,29,46,7,65,25,202,262,-60,17-21-3,12-25-04,5-Apr,06-4-00,WON 2,0
 DALLAS,PAC,82,42,35,5,89,35,211,222,-11,22-16-3,20-19-2,4-Jul,03-7-00,LOST 5,0
 EDMONTON,NW,82,32,40,10,74,27,212,239,-27,18-17-6,14-23-4,7-May,04-4-02,LOST 1,0
 MINNESOTA,NW,82,35,36,11,81,24,177,226,-49,20-17-4,15-19-7,9-Nov,05-4-01,LOST 1,0
 MONTR?AL,NE,82,31,35,16,78,26,212,226,-14,16-15-10,15-20-6,12-May,03-3-04,WON 1,0
 NY ISLANDERS,ATL,82,34,37,11,79,27,203,255,-52,17-18-6,17-19-5,4-Jul,05-5-00,LOST 1,0
 P - VANCOUVER,NW,82,51,22,9,111,43,249,198,51,27-10-4,24-12-5,7-Aug,08-1-01,WON 1,0
 TAMPA BAY,SE,82,38,36,8,84,35,235,281,-46,25-14-2,13-22-6,3-Mar,06-3-01,WON 1,0
 TORONTO,NE,82,35,37,10,80,31,231,264,-33,18-16-7,17-21-3,5-Apr,03-5-02,LOST 1,0
 WINNIPEG,SE,82,37,35,10,84,33,225,246,-21,23-13-5,14-22-5,4-Apr,03-5-02,OT 1,0
 X - CHICAGO,CEN,82,45,26,11,101,38,248,238,10,27-8-6,18-18-5,7-Jul,06-1-03,WON 1,1
 X - DETROIT,CEN,82,48,28,6,102,39,248,203,45,31-7-3,17-21-3,3-Sep,04-4-02,OT 1,1
 X - LOS ANGELES,PAC,82,40,27,15,95,34,194,179,15,22-14-5,18-13-10,9-Jun,05-2-03,OT 2,1
 X - NASHVILLE,CEN,82,48,26,8,104,43,237,210,27,26-10-5,22-16-3,5-May,06-4-00,WON 3,1
 X - NEW JERSEY,ATL,82,48,28,6,102,36,228,209,19,24-13-4,24-15-2,4-Dec,07-2-01,WON 6,1
 X - OTTAWA,NE,82,41,31,10,92,35,249,240,9,20-17-4,21-14-6,4-Jun,04-6-00,LOST 3,1
 X - PHILADELPHIA,ATL,82,47,26,9,103,43,264,232,32,22-13-6,25-13-3,7-Apr,05-4-01,LOST 1,1
 X - PITTSBURGH,ATL,82,51,25,6,108,42,282,221,61,29-10-2,22-15-4,3-Sep,06-4-00,WON 3,1
 X - SAN JOSE,PAC,82,43,29,10,96,34,228,210,18,26-12-3,17-17-7,5-Sep,07-3-00,WON 4,1
 X - WASHINGTON,SE,82,42,32,8,92,38,222,230,-8,26-11-4,16-21-4,4-Apr,06-2-02,WON 2,1
 Y - BOSTON,NE,82,49,29,4,102,40,269,202,67,24-14-3,25-15-1,3-Sep,07-2-01,WON 2,1
 Y - FLORIDA,SE,82,38,26,18,94,32,203,227,-24,21-9-11,17-17-7,11-Jun,02-3-05,WON 1,1
 Y - PHOENIX,PAC,82,42,27,13,97,36,216,204,12,22-13-6,20-14-7,10-Jun,07-1-02,WON 5,1
 Y - ST. LOUIS,CEN,82,49,22,11,109,45,210,165,45,30-6-5,19-16-6,10-Apr,04-3-03,WON 1,1
 Z - NY RANGERS,ATL,82,51,24,7,109,47,226,187,39,27-12-2,24-12-5,5-Apr,06-4-00,LOST 2,1
